timer	TimeStampUTC	Longitude	Latitude	Altitude	horAccuracy	verAccuracy
270271	1266801113144	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
270790	1266801113144	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
271304	1266801113144	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
271831	1266801115230	-122.160214683	47.771374117	25.000000000	17.068495254	70.281001376
272348	1266801115230	-122.160214683	47.771374117	25.000000000	17.068495254	70.281001376
272859	1266801115926	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
273383	1266801116605	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
274166	1266801117337	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
274810	1266801118013	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
275319	1266801118704	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
275830	1266801119384	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
276351	1266801119384	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
276865	1266801120097	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
277380	1266801120808	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
277901	1266801120810	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
278411	1266801121494	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
278923	1266801122161	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
279439	1266801122932	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
279955	1266801122933	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
280476	1266801123550	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
280987	1266801123558	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
281507	1266801123558	-122.160214683	47.771374117	25.000000000	47.421633550	70.281001376
282024	1266801125032	-122.160225267	47.771410933	24.000000000	47.421633550	70.281001376
282536	1266801125032	-122.160225267	47.771410933	24.000000000	47.421633550	70.281001376
283048	1266801125032	-122.160225267	47.771410933	24.000000000	47.421633550	70.281001376
283557	1266801127082	-122.160195850	47.771429450	25.000000000	17.068495254	70.281001376
284083	1266801127381	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
284589	1266801127987	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
285099	1266801127994	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
285624	1266801129155	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
286153	1266801129275	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
286672	1266801129927	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
287177	1266801130560	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
287689	1266801130561	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
288204	1266801130561	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
288713	1266801131944	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
289225	1266801131945	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
289738	1266801131945	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
290268	1266801133350	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
290776	1266801133351	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
291288	1266801133351	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
291802	1266801133351	-122.160195850	47.771429450	25.000000000	47.421633550	70.281001376
292327	1266801135453	-122.159958383	47.771484500	25.000000000	47.421633550	70.281001376
292838	1266801135453	-122.159958383	47.771484500	25.000000000	47.421633550	70.281001376
293350	1266801135453	-122.159958383	47.771484500	25.000000000	47.421633550	70.281001376
293857	1266801135453	-122.159958383	47.771484500	25.000000000	47.421633550	70.281001376
294390	1266801137548	-122.159910283	47.771494200	25.000000000	17.068495254	23.164149319
294909	1266801137548	-122.159910283	47.771494200	25.000000000	17.068495254	23.164149319
295425	1266801138785	-122.159879767	47.771497850	25.000000000	47.421633550	70.281001376
295935	1266801138787	-122.159879767	47.771497850	25.000000000	47.421633550	70.281001376
296457	1266801139613	-122.159879767	47.771497850	25.000000000	17.068495254	23.164149319
296978	1266801140306	-122.159879767	47.771497850	25.000000000	17.068495254	23.164149319
297490	1266801140307	-122.159879767	47.771497850	25.000000000	17.068495254	23.164149319
297991	1266801141018	-122.159879767	47.771497850	25.000000000	47.421633550	70.281001376
298512	1266801141738	-122.159879767	47.771497850	25.000000000	47.421633550	70.281001376
299037	1266801142431	-122.159879767	47.771497850	25.000000000	17.068495254	23.164149319
299547	1266801142432	-122.159879767	47.771497850	25.000000000	17.068495254	23.164149319
300058	1266801143140	-122.159879767	47.771497850	25.000000000	17.068495254	23.164149319
300570	1266801143860	-122.159745650	47.771486767	25.000000000	17.068495254	23.164149319
301081	1266801144560	-122.159745650	47.771486767	25.000000000	17.068495254	23.164149319
301598	1266801144561	-122.159745650	47.771486767	25.000000000	17.068495254	23.164149319
303314	1266801145972	-122.159745650	47.771486767	25.000000000	17.068495254	70.281001376
303831	1266801145972	-122.159745650	47.771486767	25.000000000	17.068495254	70.281001376
304339	1266801145972	-122.159745650	47.771486767	25.000000000	17.068495254	70.281001376
304849	1266801148077	-122.159668083	47.771478650	25.000000000	47.421633550	70.281001376
305355	1266801148078	-122.159668083	47.771478650	25.000000000	47.421633550	70.281001376
305865	1266801148078	-122.159668083	47.771478650	25.000000000	47.421633550	70.281001376
306400	1266801149442	-122.159647883	47.771473300	25.000000000	17.068495254	23.164149319
306903	1266801150190	-122.159639250	47.771464700	25.000000000	17.068495254	23.164149319
307413	1266801150191	-122.159639250	47.771464700	25.000000000	17.068495254	23.164149319
307922	1266801150191	-122.159639250	47.771464700	25.000000000	17.068495254	23.164149319
308435	1266801151551	-122.159623817	47.771454700	25.000000000	17.068495254	23.164149319
308948	1266801152275	-122.159623817	47.771454700	25.000000000	17.068495254	23.164149319
309472	1266801152988	-122.159623817	47.771454700	25.000000000	17.068495254	23.164149319
309977	1266801152989	-122.159623817	47.771454700	25.000000000	17.068495254	23.164149319
310488	1266801152989	-122.159623817	47.771454700	25.000000000	17.068495254	23.164149319
311009	1266801154414	-122.159623817	47.771454700	25.000000000	47.421633550	70.281001376
311521	1266801154907	-122.159623817	47.771454700	25.000000000	47.421633550	70.281001376
312024	1266801154908	-122.159623817	47.771454700	25.000000000	47.421633550	70.281001376
312532	1266801154908	-122.159623817	47.771454700	25.000000000	47.421633550	70.281001376
313035	1266801156520	-122.159608917	47.771391583	25.000000000	47.421633550	70.281001376
313543	1266801156521	-122.159608917	47.771391583	25.000000000	47.421633550	70.281001376
314049	1266801156521	-122.159608917	47.771391583	25.000000000	47.421633550	70.281001376
314553	1266801156521	-122.159608917	47.771391583	25.000000000	47.421633550	70.281001376
315064	1266801156521	-122.159608917	47.771391583	25.000000000	47.421633550	70.281001376
315571	1266801158670	-122.159604083	47.771364833	25.000000000	47.421633550	70.281001376
316074	1266801158671	-122.159604083	47.771364833	25.000000000	47.421633550	70.281001376
316583	1266801158671	-122.159604083	47.771364833	25.000000000	47.421633550	70.281001376
